,id,Beds,Baths,Balconies, Covered Parking,Carpet Area,Developer,Project,Status,Facing,Lifts,Furnished Status,Car parking,Age of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Num of Amenities,Floor,Balcony,Super Built-up Area,Type of Ownership,Authority Approval,Bed,RERA ID,Bath,Floors allowed for construction
1516,4d423730363834343633,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1517,4d423639383933373231,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1518,4d423730383231363833,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1519,4d423639353733373139,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1520,4d423731313935323835,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1521,4d423730383538313631,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1522,4d423637323734333635,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1523,4d423639323134333031,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1524,4d423731353839343835,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1525,4d423730343638323131,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1526,4d423731313639373939,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1527,4d423639333333393539,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1528,4d423636343239303537,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1529,4d423730313737313339,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1530,4d423730303432393835,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1531,4d423731363032383933,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1532,4d423637313133363535,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1533,4d423731353434303031,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1534,4d423638363239363137,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1535,4d423730363030353539,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1536,4d423538303431303239,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1537,4d423638383930313933,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1538,4d423636353833313737,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1539,4d423439343737373031,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1540,4d423730323536343433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1541,4d423631353832373133,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1542,4d423631353038343933,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1543,4d423731343431353939,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1544,4d423731363239393239,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1545,4d423730373735333731,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1546,4d423638373439373233,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1547,4d423731363434353135,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1548,4d423731353834373633,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1549,4d423731363934373431,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1550,4d423238383532363335,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1551,4d423731313739343635,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1552,4d423731363736373533,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1553,4d423336313430333235,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1554,4d423730343037333433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1555,4d423639303138343339,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1556,4d423638383532303831,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1557,4d423731313338353131,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1558,4d423730373231373233,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1559,4d423639393432323435,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1560,4d423731353534313131,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1561,4d423731343737363833,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1562,4d423731343936343531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1563,4d423335363234313837,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1564,4d423731323534393539,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1565,4d423730353436323237,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1566,4d423731363735313537,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1567,4d423731363933373431,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1568,4d423731363633363035,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1569,4d423730353138383539,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1570,4d423730343030333437,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1571,4d423730343834303039,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1572,4d423730393433393339,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1573,4d423730353933323433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1574,4d423730393730373037,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1575,4d423639333835353531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1576,4d423731353939373435,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1577,4d423730343139343939,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1578,4d423731363931373739,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1579,4d423731353332363739,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1580,4d423731303533363937,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1581,4d423536393536313833,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1582,4d423730353135383135,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1583,4d423639393833333839,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1584,4d423731303331343837,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1585,4d423731353939363433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1586,4d423730333239303037,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1587,4d423731363039313433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
